method,trainable_params,avg_forward_pass_memory_gb,total_training_time_sec,total_training_time_min
dora,906243,1.1721444444444444,3213.25,53.55416666666667
ia3,657411,1.2402055555555556,2864.74,47.745666666666665
lora,887811,1.1566916666666667,2323.66,38.727666666666664
